eventname,geoid
St. Louis Blues,29165
St. Louis Blues,17057
St. Louis Blues,29129
St. Louis Blues,29001
St. Louis Blues,29017
St. Louis Blues,29111
St. Louis Blues,29033
St. Louis Blues,17139
St. Louis Blues,29091
St. Louis Blues,17117
St. Louis Blues,29071
St. Louis Blues,29091
St. Louis Blues,5031
St. Louis Blues,17159
St. Louis Blues,29173
St. Louis Blues,29101
St. Louis Blues,20209
St. Louis Blues,29007
St. Louis Blues,29113
St. Louis Blues,29061
St. Louis Blues,29109
St. Louis Blues,17047
St. Louis Blues,17035
St. Louis Blues,29065
St. Louis Blues,29101
St. Louis Blues,29087
St. Louis Blues,18063
St. Louis Blues,29135
St. Louis Blues,29017
St. Louis Blues,18051
St. Louis Blues,17141
St. Louis Blues,17127
St. Louis Blues,29099
St. Louis Blues,29215
St. Louis Blues,17125
St. Louis Blues,29015
St. Louis Blues,17015
St. Louis Blues,29093
St. Louis Blues,29043
St. Louis Blues,20103
St. Louis Blues,29137
St. Louis Blues,17127
St. Louis Blues,5005
St. Louis Blues,19081
St. Louis Blues,17079
St. Louis Blues,17027
St. Louis Blues,29199
St. Louis Blues,5027
St. Louis Blues,29137
St. Louis Blues,29019
St. Louis Blues,18095
St. Louis Blues,29143
St. Louis Blues,17109
St. Louis Blues,17045
St. Louis Blues,17017
St. Louis Blues,17123
St. Louis Blues,29125
St. Louis Blues,17305
St. Louis Blues,29073
St. Louis Blues,17129
St. Louis Blues,29069
St. Louis Blues,29019
St. Louis Blues,17145
St. Louis Blues,29305
St. Louis Blues,29079
St. Louis Blues,29307
St. Louis Blues,20035
St. Louis Blues,29053
St. Louis Blues,17119
St. Louis Blues,17159
St. Louis Blues,17009
St. Louis Blues,29117
St. Louis Blues,29009
St. Louis Blues,19073
St. Louis Blues,29113
St. Louis Blues,18147
St. Louis Blues,29197
St. Louis Blues,29047
St. Louis Blues,29061
St. Louis Blues,5093
St. Louis Blues,17139
St. Louis Blues,19051
St. Louis Blues,5009
St. Louis Blues,20161
St. Louis Blues,51115
St. Louis Blues,29103
St. Louis Blues,20133
St. Louis Blues,29071
St. Louis Blues,29159
St. Louis Blues,17095
St. Louis Blues,13029
St. Louis Blues,17125
St. Louis Blues,29119
St. Louis Blues,17035
St. Louis Blues,5115
St. Louis Blues,19067
St. Louis Blues,29125
St. Louis Blues,29031
St. Louis Blues,20103
St. Louis Blues,29179
St. Louis Blues,17185
St. Louis Blues,40071
St. Louis Blues,29155
St. Louis Blues,17169
St. Louis Blues,21035
St. Louis Blues,18079
St. Louis Blues,18027
St. Louis Blues,29003
St. Louis Blues,29203
St. Louis Blues,29177
St. Louis Blues,20059
St. Louis Blues,5093
St. Louis Blues,20053
St. Louis Blues,18301
St. Louis Blues,19151
St. Louis Blues,22003
St. Louis Blues,19179
St. Louis Blues,31099
St. Louis Blues,29169
St. Louis Blues,29041
St. Louis Blues,29007
St. Louis Blues,19141
St. Louis Blues,29027
St. Louis Blues,55401
St. Louis Blues,29063
St. Louis Blues,5111
St. Louis Blues,40083
St. Louis Blues,29217
St. Louis Blues,31009
St. Louis Blues,48013
St. Louis Blues,31013
St. Louis Blues,19007
St. Louis Blues,29085
St. Louis Blues,18109
St. Louis Blues,20047
St. Louis Blues,19061
St. Louis Blues,29005
St. Louis Blues,5019
St. Louis Blues,17003
St. Louis Blues,29107
St. Louis Blues,17175
St. Louis Blues,19169
St. Louis Blues,29027
St. Louis Blues,31089
St. Louis Blues,29149
St. Louis Blues,55001
St. Louis Blues,22033
St. Louis Blues,21007
St. Louis Blues,40043
St. Louis Blues,13191
St. Louis Blues,20095
St. Louis Blues,19123
St. Louis Blues,29105
St. Louis Blues,5141
St. Louis Blues,29095
St. Louis Blues,20003
St. Louis Blues,28099
St. Louis Blues,28065
St. Louis Blues,#N/A
St. Louis Blues,37005
Tampa Bay Lightning,12057
Tampa Bay Lightning,12103
Tampa Bay Lightning,12101
Tampa Bay Lightning,12115
Tampa Bay Lightning,12081
Tampa Bay Lightning,12113
Tampa Bay Lightning,12059
Tampa Bay Lightning,12053
Tampa Bay Lightning,12081
Tampa Bay Lightning,12009
Tampa Bay Lightning,12117
Tampa Bay Lightning,12015
Tampa Bay Lightning,12031
Tampa Bay Lightning,12093
Tampa Bay Lightning,12127
Tampa Bay Lightning,12033
Tampa Bay Lightning,12017
Tampa Bay Lightning,12001
Tampa Bay Lightning,12109
Tampa Bay Lightning,12097
Tampa Bay Lightning,12073
Tampa Bay Lightning,12119
Tampa Bay Lightning,12055
Tampa Bay Lightning,12027
Tampa Bay Lightning,12091
Tampa Bay Lightning,12035
Tampa Bay Lightning,12113
Tampa Bay Lightning,12005
Tampa Bay Lightning,12053
Tampa Bay Lightning,12075
Tampa Bay Lightning,12027
Tampa Bay Lightning,12129
Tampa Bay Lightning,31139
Tampa Bay Lightning,12121
Tampa Bay Lightning,12089
Tampa Bay Lightning,13077
Tampa Bay Lightning,12107
Tampa Bay Lightning,20033
Tampa Bay Lightning,12027
Tampa Bay Lightning,12089
Tampa Bay Lightning,13039
Tampa Bay Lightning,13085
Tampa Bay Lightning,12049
Tampa Bay Lightning,12039
Tampa Bay Lightning,2220
Tampa Bay Lightning,12123
Tampa Bay Lightning,12045
Tampa Bay Lightning,13275
Tampa Bay Lightning,12003
Tampa Bay Lightning,13077
Tampa Bay Lightning,51015
Tampa Bay Lightning,12071
Tampa Bay Lightning,45027
Tampa Bay Lightning,13173
Tampa Bay Lightning,12041
Tampa Bay Lightning,45049
Tampa Bay Lightning,12073
Tampa Bay Lightning,37071
Tampa Bay Lightning,20191
Tampa Bay Lightning,45159
Tampa Bay Lightning,20205
Tampa Bay Lightning,37131
Tampa Bay Lightning,51131
Tampa Bay Lightning,37087
Tampa Bay Lightning,18119
Tampa Bay Lightning,13001
Tampa Bay Lightning,#N/A
Tampa Bay Lightning,28137
Tampa Bay Lightning,22075
Tampa Bay Lightning,37199
Tampa Bay Lightning,13299
Tampa Bay Lightning,13071
Tampa Bay Lightning,30037
Tampa Bay Lightning,12139
Tampa Bay Lightning,13229
Tampa Bay Lightning,12015
Tampa Bay Lightning,#N/A
Toronto Maple Leafs,#N/A
Toronto Maple Leafs,78067
Toronto Maple Leafs,48073
Toronto Maple Leafs,5105
Toronto Maple Leafs,48473
Toronto Maple Leafs,48205
Toronto Maple Leafs,13277
Toronto Maple Leafs,13031
Toronto Maple Leafs,31307
Toronto Maple Leafs,20129
Toronto Maple Leafs,21069
Toronto Maple Leafs,5025
Toronto Maple Leafs,31103
Toronto Maple Leafs,13251
Toronto Maple Leafs,28027
Toronto Maple Leafs,46035
Vancouver Canucks,53269
Vancouver Canucks,53061
Vancouver Canucks,53073
Vancouver Canucks,53229
Vancouver Canucks,53035
Vancouver Canucks,53029
Vancouver Canucks,53057
Vancouver Canucks,53173
Vancouver Canucks,53053
Vancouver Canucks,53037
Vancouver Canucks,53009
Vancouver Canucks,53007
Vancouver Canucks,53061
Vancouver Canucks,53027
Vancouver Canucks,41009
Vancouver Canucks,53035
Vancouver Canucks,41007
Vancouver Canucks,35021
Vancouver Canucks,53073
Vancouver Canucks,53075
Vancouver Canucks,47033
Vancouver Canucks,21071
Vancouver Canucks,#N/A
Vancouver Canucks,41057
Vancouver Canucks,19009
Vancouver Canucks,#N/A
Vancouver Canucks,2100
Vancouver Canucks,5103
Vancouver Canucks,16073
Vancouver Canucks,41065
Vancouver Canucks,19117
Vancouver Canucks,16009
Vancouver Canucks,41073
Vancouver Canucks,13027
Vancouver Canucks,51000
Vegas Golden Knights,32019
Vegas Golden Knights,49035
Vegas Golden Knights,32031
Vegas Golden Knights,15003
Vegas Golden Knights,2020
Vegas Golden Knights,32023
Vegas Golden Knights,49129
Vegas Golden Knights,53063
Vegas Golden Knights,4015
Vegas Golden Knights,16001
Vegas Golden Knights,49049
Vegas Golden Knights,49051
Vegas Golden Knights,30029
Vegas Golden Knights,32007
Vegas Golden Knights,2090
Vegas Golden Knights,41051
Vegas Golden Knights,30059
Vegas Golden Knights,49057
Vegas Golden Knights,41129
Vegas Golden Knights,53007
Vegas Golden Knights,53019
Vegas Golden Knights,30013
Vegas Golden Knights,16019
Vegas Golden Knights,49117
Vegas Golden Knights,30063
Vegas Golden Knights,41017
Vegas Golden Knights,30093
Vegas Golden Knights,56081
Vegas Golden Knights,2170
Vegas Golden Knights,30049
Vegas Golden Knights,53059
Vegas Golden Knights,49071
Vegas Golden Knights,30159
Vegas Golden Knights,16005
Vegas Golden Knights,41101
Vegas Golden Knights,2122
Vegas Golden Knights,41005
Vegas Golden Knights,41071
Vegas Golden Knights,40119
Vegas Golden Knights,53077
Vegas Golden Knights,32119
Vegas Golden Knights,15009
Vegas Golden Knights,49051
Vegas Golden Knights,32023
Vegas Golden Knights,41093
Vegas Golden Knights,16055
Vegas Golden Knights,16013
Vegas Golden Knights,19071
Vegas Golden Knights,32033
Vegas Golden Knights,16027
Vegas Golden Knights,30033
Vegas Golden Knights,15007
Vegas Golden Knights,49003
Vegas Golden Knights,56079
Vegas Golden Knights,30085
Vegas Golden Knights,48023
Vegas Golden Knights,55087
Vegas Golden Knights,41139
Vegas Golden Knights,41113
Vegas Golden Knights,38079
Vegas Golden Knights,32015
Vegas Golden Knights,2057
Vegas Golden Knights,35009
Vegas Golden Knights,32079
Vegas Golden Knights,32001
Vegas Golden Knights,38025
Vegas Golden Knights,30023
Vegas Golden Knights,30073
Vegas Golden Knights,2130
Vegas Golden Knights,48479
Vegas Golden Knights,48255
Vegas Golden Knights,48409
Vegas Golden Knights,16017
Vegas Golden Knights,16057
Vegas Golden Knights,30093
Vegas Golden Knights,53015
Vegas Golden Knights,30085
Vegas Golden Knights,41033
Vegas Golden Knights,31229
Vegas Golden Knights,30087
Vegas Golden Knights,35031
Vegas Golden Knights,41007
Vegas Golden Knights,55103
Vegas Golden Knights,48069
Vegas Golden Knights,49133
Vegas Golden Knights,31155
Vegas Golden Knights,49045
Vegas Golden Knights,40087
Vegas Golden Knights,13087
Vegas Golden Knights,19149
Vegas Golden Knights,19141
Vegas Golden Knights,16035
Vegas Golden Knights,49009
Vegas Golden Knights,38033
Vegas Golden Knights,30089
Vegas Golden Knights,46129
Vegas Golden Knights,48195
Vegas Golden Knights,56041
Vegas Golden Knights,46115
Vegas Golden Knights,41027
Vegas Golden Knights,30095
Vegas Golden Knights,16059
Vegas Golden Knights,#N/A
Vegas Golden Knights,30041
Vegas Golden Knights,48003
Vegas Golden Knights,12051
Vegas Golden Knights,41035
Vegas Golden Knights,27087
Vegas Golden Knights,20137
Vegas Golden Knights,38005
Vegas Golden Knights,30027
Vegas Golden Knights,53003
Vegas Golden Knights,22387
Vegas Golden Knights,30001
Vegas Golden Knights,40215
Vegas Golden Knights,49039
Vegas Golden Knights,49103
Vegas Golden Knights,41027
Vegas Golden Knights,54093
Vegas Golden Knights,41063
Vegas Golden Knights,48123
Vegas Golden Knights,5049
Vegas Golden Knights,49089
Vegas Golden Knights,40019
Vegas Golden Knights,53059
Vegas Golden Knights,32011
Vegas Golden Knights,5053
Vegas Golden Knights,2068
Vegas Golden Knights,16089
Vegas Golden Knights,30107
Vegas Golden Knights,5017
Vegas Golden Knights,53189
Vegas Golden Knights,5073
Vegas Golden Knights,48505
Vegas Golden Knights,40009
Vegas Golden Knights,53069
Vegas Golden Knights,19129
Vegas Golden Knights,41007
Vegas Golden Knights,40153
Vegas Golden Knights,26013
Vegas Golden Knights,35029
Vegas Golden Knights,30197
Vegas Golden Knights,22065
Vegas Golden Knights,6003
Vegas Golden Knights,30097
Vegas Golden Knights,16071
Vegas Golden Knights,17071
Vegas Golden Knights,16029
Vegas Golden Knights,28213
Vegas Golden Knights,30015
Vegas Golden Knights,31121
Vegas Golden Knights,16059
Vegas Golden Knights,46019
Vegas Golden Knights,22307
Vegas Golden Knights,2158
Vegas Golden Knights,49023
Vegas Golden Knights,46023
Vegas Golden Knights,16043
Vegas Golden Knights,35003
Vegas Golden Knights,22037
Vegas Golden Knights,17115
Vegas Golden Knights,19033
Vegas Golden Knights,48407
Vegas Golden Knights,46287
Vegas Golden Knights,31113
Vegas Golden Knights,48031
Vegas Golden Knights,30025
Vegas Golden Knights,38179
Vegas Golden Knights,#N/A
Vegas Golden Knights,12059
Vegas Golden Knights,41003
Vegas Golden Knights,16079
Vegas Golden Knights,2240
Vegas Golden Knights,13107
Vegas Golden Knights,49033
Vegas Golden Knights,40257
Vegas Golden Knights,20035
Vegas Golden Knights,40093
Vegas Golden Knights,16015
Vegas Golden Knights,40057
Vegas Golden Knights,31173
Vegas Golden Knights,38043
Vegas Golden Knights,13093
Washington Capitals,51059
Washington Capitals,24101
Washington Capitals,24003
Washington Capitals,11000
Washington Capitals,51107
Washington Capitals,51013
Washington Capitals,51153
Washington Capitals,24005
Washington Capitals,24061
Washington Capitals,24021
Washington Capitals,51000
Washington Capitals,24033
Washington Capitals,24005
Washington Capitals,24009
Washington Capitals,24025
Washington Capitals,24017
Washington Capitals,51185
Washington Capitals,24000
Washington Capitals,51087
Washington Capitals,24015
Washington Capitals,51177
Washington Capitals,51025
Washington Capitals,51810
Washington Capitals,51061
Washington Capitals,51021
Washington Capitals,24035
Washington Capitals,24129
Washington Capitals,51085
Washington Capitals,51245
Washington Capitals,54015
Washington Capitals,51003
Washington Capitals,54073
Washington Capitals,51550
Washington Capitals,24045
Washington Capitals,24263
Washington Capitals,51610
Washington Capitals,51000
Washington Capitals,51301
Washington Capitals,51095
Washington Capitals,51047
Washington Capitals,51015
Washington Capitals,24047
Washington Capitals,51021
Washington Capitals,51000
Washington Capitals,51000
Washington Capitals,51700
Washington Capitals,51171
Washington Capitals,51025
Washington Capitals,51099
Washington Capitals,51161
Washington Capitals,51660
Washington Capitals,51059
Washington Capitals,51015
Washington Capitals,51011
Washington Capitals,24011
Washington Capitals,51009
Washington Capitals,51101
Washington Capitals,51025
Washington Capitals,24019
Washington Capitals,51049
Washington Capitals,51031
Washington Capitals,51149
Washington Capitals,51680
Washington Capitals,51145
Washington Capitals,51101
Washington Capitals,51000
Washington Capitals,51161
Washington Capitals,51570
Washington Capitals,51000
Washington Capitals,51145
Washington Capitals,51075
Washington Capitals,51097
Washington Capitals,24025
Washington Capitals,51735
Washington Capitals,51015
Washington Capitals,51157
Washington Capitals,51115
Washington Capitals,51127
Washington Capitals,51195
Washington Capitals,51089
Washington Capitals,51021
Washington Capitals,51039
Washington Capitals,51029
Washington Capitals,51093
Washington Capitals,13245
Washington Capitals,51005
Washington Capitals,54015
Washington Capitals,51023
Washington Capitals,54103
Washington Capitals,51115
Washington Capitals,51179
Washington Capitals,37015
Washington Capitals,16051
Washington Capitals,51063
Washington Capitals,54059
Washington Capitals,51009
Washington Capitals,51063
Washington Capitals,38045
Washington Capitals,35033
Washington Capitals,37143
Washington Capitals,13059
Washington Capitals,19001
Washington Capitals,16049
Washington Capitals,30079
Washington Capitals,22183
Washington Capitals,51163
Washington Capitals,48027
Washington Capitals,48435
Washington Capitals,13075
Washington Capitals,1057
Washington Capitals,22129
Washington Capitals,48033
Washington Capitals,48069
Washington Capitals,40101
Washington Capitals,28057
Washington Capitals,51011
Washington Capitals,51005
Washington Capitals,#N/A
Winnipeg Jets,27135
Winnipeg Jets,38067
Winnipeg Jets,53039
Winnipeg Jets,38147
Winnipeg Jets,21125
Winnipeg Jets,22035
